total_bill,tip,sex,smoker,day,time,size
12.9,1.1,Female,Yes,Sat,Dinner,2
11.87,1.63,Female,No,Thur,Lunch,2
3.07,1,Female,Yes,Sat,Dinner,1
24.08,2.92,Female,No,Thur,Lunch,4
18.71,4,Male,Yes,Thur,Lunch,3
24.55,2,Male,No,Sun,Dinner,4
13.94,3.06,Male,No,Sun,Dinner,2
23.33,5.65,Male,Yes,Sun,Dinner,
10.33,2,Female,No,Thur,Lunch,2
20.92,4.08,,No,Sat,Dinner,2
18.29,3.76,Male,Yes,Sat,Dinner,4
8.77,2,Male,No,Sun,Dinner,2
35.26,5,Female,No,Sun,Dinner,4
,2,Male,No,Sun,Dinner,2
12.46,1.5,Male,No,Fri,Dinner,2
16.82,4,Male,Yes,Sun,Dinner,2
,,Male,No,,Dinner,
14,3,Male,No,Sat,Dinner,2
10.09,2,Female,Yes,Fri,Lunch,2
17.07,3,Female,No,Sat,Dinner,3
20.45,3,Male,No,Sat,Dinner,4
22.23,5,Male,No,Sun,Dinner,2
23.68,3.31,Male,No,Sun,Dinner,2
14.07,2.5,Male,No,Sun,Dinner,2
9.68,1.32,Male,No,Sun,,2
12.66,2.5,Male,No,Sun,,2
13.03,2,Male,No,Thur,Lunch,2
12.43,1.8,Female,No,Thur,Lunch,2
15.04,1.96,Male,No,Sun,Dinner,2
15.06,3,Female,No,Sat,Dinner,2
12.76,2.23,Female,Yes,Sat,Dinner,2
